match_round,home_team,away_team,team,sentiment_analysis
14,Burnley,Newcastle,Newcastle,0.2436298289916711
14,Crystal Palace,Aston Villa,Crystal Palace,0.26618140804301516
14,Crystal Palace,Aston Villa,Aston Villa,0.168801365535967
14,Leicester,Liverpool,Leicester,0.15768454442933613
14,Leicester,Liverpool,Liverpool,0.25110477643148094
14,Manchester Utd,Stoke,Manchester Utd,0.35713853948375446
14,Manchester Utd,Stoke,Stoke,0.23402048078184443
14,Swansea,QPR,Swansea,0.22606053134899287
14,Swansea,QPR,QPR,0.22660350177304964
14,West Brom,West Ham,West Brom,0.1446380041319278
14,West Brom,West Ham,West Ham,0.28853792289060154
